5.967,3.4,0.29,3.7,36.263,0.43438
6.096,2.6,0.27,3.46,34.538,0.42918
6.194,4.1,0.29,3.27,33.04,0.44148
6.321,3.5,0.32,3.81,21.097,0.37844
6.547,2.6,0.29,3.8,7.012,0.37569
6.745,6.5,0.32,3.72,10.304,0.47561
6.935,5.6,0.39,3.6,30.211,0.43502
6.987,2.3,0.42146,3.342,35.853,0.33647
6.899,5.6,0.44,3.25,36.797,0.36672
6.789,4.8,0.5,3.46,27.847,0.33074
6.766,6.1,0.62,3.46,13.247,0.27763
6.79,6.7,0.7,3.75,7.363,0.30306
6.8,11.5,0.77,4,17.353,0.36603
6.724,10.4,0.99747,4.3291,22.409,0.35417
6.733,8.7,1.27,4.9,24.228,0.40079
6.91,8.8,1.42,5.67,22.553,0.46938
6.769,10.3,1.49,5.99,15.243,0.59222
6.873,13.3,1.76,5.53,25.458,0.63605
6.828,13.2,1.9331,5.0687,43.155,0.60432
6.678,17.9,2.04,5.16,53.1,0.6518
6.651,14.4,2.11,5.69,57.871,0.66166
6.228,16.4,1.94,5.36,52.328,0.71099
6.005,15.4,2.09,5.56,42.74,0.77887
6.176,15.9,2.246,6.1369,34.747,0.76221
6.105,16.3,2.18,6.38,28.904,0.74098
5.973,14,1.93,6.16,26.778,0.78709
6.161,12.7,1.87,6.61,31.094,0.77057
6.188,14.9,1.65,6.33,29.599,0.71
6.24,12.5,1.84,6,30.828,0.74146
6.712,11.7,2.1316,5.7138,29.778,0.78024
6.746,12.7,2.14,5.57,32.361,0.78162
6.814,10.4,1.8,5.72,44.983,0.88995
6.868,8.1,1.67,5.87,53.176,0.93177
6.76,5.8,1.32,5.37,51.81,0.95243
6.614,4.2,1.09,5.4,40.82,0.92703
6.505,4,0.92,5.08,27.059,0.85993
6.466,4,0.93,5.35,14.067,1.0767
6.454,3.6,0.85,5.75,17.504,1.0567
6.328,1.6,0.76,5.41,24.432,0.88087
6.326,1.5,0.8,5.2,30.905,0.73477
6.261,1.9,0.80409,5.3575,24.806,0.73285
6.324,2.8,0.75,5.87,12.924,0.75142
6.271,3.4,0.71,6.43,17.714,0.93098
6.218,4.8,0.78,6.11,31.758,0.81004
6.16,4.3,0.71,5.76,38.425,0.78755
5.853,6.9,0.57,5.34,40.73,0.83768
5.622,8.1,0.63,4.32,28.79,0.89445
5.416,6,0.64,3.79,11.743,0.80692
5.388,6.7,0.66,4.05,13.316,0.83898
5.378,6.2,0.62,4.94,28.237,0.55733
5.545,9.4,0.68,5.25,31.395,0.63499
5.659,10,0.94602,5.3864,29.381,0.58166
5.766,10,1.2,5.56,22.843,0.67447
6.008,10.4,1.38,5.75,16.936,0.79751
6.214,12.3,1.89,5.81,24.897,0.9817
6.485,16.2,2.08,5.91,36.612,0.7839
6.445,16,2.58,6.36,56.387,0.88501
6.528,14.6,2.65,6.02,64.755,0.94235
6.531,13.4,2.35,5.67,53.668,0.9738
6.335,12.2,1.87,5.46,39.237,0.98544
6.429,12.6,1.73,5.48,31.162,0.91829
6.525,11.2,1.6,5.75,19.5,0.93413
6.277,9.7,1.4519,5.7086,17.978,0.89813
6.296,7,1.24,5.5,18.974,0.95782
6.326,4.8,0.98,5.41,20.002,0.92584
6.336,7.1,0.96,5.37,15.585,1.0325
6.427,7.1,1.0169,5.2009,11.132,1.0906
6.391,6.8,1.04,4.76,19.589,1.0435
6.402,9.6,1.01,4.29,32.021,0.97607
6.225,5.9,1.01,4.54,34.133,0.98245
6.063,5.6,0.95,4.06,34.535,0.8969
5.911,7.4,0.82,4.5,17.433,0.8463
5.836,5.4,0.75,4.19,8.473,0.89975
5.849,5.9,0.68434,4.0457,13.027,0.54581
5.908,5.3,0.65,4.23,24.718,0.53708
5.982,4.6,0.65,4.42,31.533,0.67243
6.096,3.9,0.54,4.35,30.28,0.73621
6.236,4.2,0.48,4.18,16.453,0.76267
6.394,6.9,0.57,4.04,5.936,0.81448
6.538,7,0.74,3.97,15.516,0.96584
6.641,7.2,0.91,3.97,33.794,0.73477
6.613,6.1,0.8,3.86,41.658,0.66269
6.504,5.4,0.79,3.69,34.998,0.71979
6.33,3.7,0.65,4.04,24.923,0.81846
6.248,2.3,0.63012,4.2417,11.188,0.85909
6.249,1.9,0.63,4.45,10.058,0.99288
6.219,2.4,0.53,4.71,21.354,0.90987
6.169,2.3,0.55,4.24,27.314,0.70656
6.155,1.3,0.49614,4.6323,27.397,0.67141
6.187,0.7,0.4,5.37,18.964,0.69564
6.2,2.7,0.35651,5.5311,8.728,0.7031
6.263,2.1,0.33,5.57,11.136,0.8189
6.279,3.3,0.29,5.65,22.882,0.8029
6.244,3.4,0.3,4.45,27.948,0.63711
6.077,6.1,0.28,3.66,29.114,0.61248
5.881,5.4,0.26773,3.599,21.394,0.67549
5.751,4.5,0.27,3.57,6.308,0.69465
5.735,3.6,0.28,3.2,12.233,0.76779
5.78,1.8,0.29,3.27,27.493,0.60432
5.883,2.8,0.25,3.21,31.863,0.60268
6.01,3,0.25,3.68,31.943,0.58501
6.155,2.7,0.24,4.11,22.22,0.62914
6.338,2.7,0.25,2.98,14.199,0.61788
6.543,3.3,0.31,3.19,4.875,0.6334
6.741,2.8,0.34,3.25,19.155,0.77473
6.869,2.8,0.3,3.38,33.407,0.62326
6.859,2.7,0.28061,3.7412,38.438,0.58277
6.759,2.9,0.26,4.22,31.261,0.62219
6.654,2.4,0.23,4.84,20.538,0.67702
6.637,1.4,0.28,5.77,7.547,0.69465
6.598,2.5,0.24,5.92,9.272,0.78527
6.565,2.3,0.25,5.23,19.763,0.7031
6.542,2.3,0.25,4.44,26.46,0.57774
6.558,3.2,0.26,4.3,23.11,0.5487
6.597,3.2,0.23,4.84,15.188,0.52117
6.627,3,0.23,4.29,4.413,0.49956
6.709,2.2,0.2,4.68,13.689,0.61788
6.754,1.8,0.17446,5.6348,27.541,0.59939
6.678,1.7,0.16,6.34,29.443,0.53063
6.537,1.2,0.15,6.18,25.544,0.55389
6.384,1.1,0.15,5.42,18.598,0.59498
6.315,2.3,0.15,5.64,6.482,0.62111
6.344,1.7,0.16,5.18,9.635,0.72851
6.4,1.7,0.22,4.96,22.684,0.5783
6.475,2.6,0.21,4.03,30.006,0.51581
6.579,2.8,0.22,4,31.018,0.48304
6.71,3,0.22,4.34,20.513,0.41078
6.877,4.2,0.23,4.04,6.319,0.37844
7.046,4.6,0.3168,3.5796,10.003,0.50561
7.175,4.4,0.4,3.21,28.211,0.50138
7.197,6.8,0.48,3.1,36.054,0.45426
7.069,10,0.86,3.42,39.257,0.58277
6.966,14.3,1.31,3.73,36.386,0.74194
6.84,14.4,1.65,4.78,29.84,0.75377
6.673,15.1,1.65,5.25,25.284,0.82899
6.745,13.4,1.73,5.28,24.853,0.97607
6.641,13.8,1.86,6,24.205,0.96736
6.522,15.7,1.83,6.27,24.344,0.95359
6.724,15,1.9399,6.3993,32.153,0.90503
6.88,18.4,2.1821,6.5699,32.899,0.85909
6.874,16.3,2.43,6.78,35.181,0.9404
6.795,16.3,2.57,6.86,48.321,0.99953
6.877,15.5,2.59,6.35,55.694,1.0835
6.888,16.4,2.611,5.9654,64.643,1.1638
6.783,15.4,2.49,6.09,55.22,1.0882
6.428,14,2.17,6.45,45.601,0.95243
6.397,14.2,2.13,5.93,39.324,0.83595
6.428,14.5,2.24,6.07,30.466,0.80245
6.391,12.4,1.88,5.94,29.379,0.80781
6.494,14.1,2.41,6.79,29.664,0.79931
6.382,13.5,2.6821,6.7614,35.363,0.70951
6.679,14.6,2.36,6.21,25.413,0.67192
6.674,6.8,1.87,5.97,28.013,0.72076
6.688,8.7,2.19,5.55,41.156,0.83291
6.733,12,2.15,5.19,52.609,0.93216
6.538,12.4,1.91,5.28,50.179,0.93177
6.542,12.9,1.85,5.02,50.184,0.85271
6.261,17.1,1.8601,4.9168,46.754,0.83465
6.195,15.1,1.83,5.18,41.548,0.88542
5.873,15.1,1.76,5.73,32.543,0.91869
5.931,14,1.81,6,25.468,0.93727
5.766,13.7,1.7303,5.4334,24.745,0.92386
5.76,13.4,1.81,5.59,31.428,0.91829
5.774,13,2.16,6.96,45.568,0.91268
5.698,13.8,2.02,6.18,40.621,0.92505
5.435,10.5,2.01,6.45,37.833,0.97945
5.61,8.8,1.82,5.72,39.601,1.0094
5.53,9,1.85,5.56,52.256,0.98395
5.523,7.6,1.96,5.18,46.408,0.89486
